,url,img,color,occasion,style
104,https://en-ae.namshi.com/buy-khizana-embroidered-abaya-with-contrast-trim-w1151629a.html,https://pa.namshicdn.com/product/A9/261511W/1-web-desktop-list.webp,Black,Evening,
105,https://en-ae.namshi.com/buy-khizana-embellished-detail-abaya-w1163001a.html,https://pa.namshicdn.com/product/A1/003611W/1-web-desktop-list.webp,Pink,event,
106,https://en-ae.namshi.com/buy-khizana-puff-sleeve-abaya-w1154417a.html,https://pa.namshicdn.com/product/A7/144511W/1-web-desktop-list.webp,Beige,Casual,
107,https://en-ae.namshi.com/buy-khizana-striped-sleeve-abaya-w1112533a.html,https://pa.namshicdn.com/product/A3/352111W/1-web-desktop-list.webp,Burgundy,Casual,
108,https://en-ae.namshi.com/buy-khizana-pleated-overlay-abaya-w1112523a.html,https://pa.namshicdn.com/product/A3/252111W/1-web-desktop-list.webp,Pink,Casual,
109,https://en-ae.namshi.com/buy-khizana-layered-detail-abaya-w1092970a.html,https://pa.namshicdn.com/product/A0/792901W/1-web-desktop-list.webp,Green,Casual,
110,https://en-ae.namshi.com/buy-khizana-leaf-detailing-dress-w1192720a.html,https://pa.namshicdn.com/product/A0/272911W/1-web-desktop-list.webp,Navy,event,
111,https://en-ae.namshi.com/buy-khizana-sequin-mesh-lace-hem-abaya-w748335a.html,https://pa.namshicdn.com/product/A5/33847W/v1/1-web-desktop-list.webp,White,Evening,sequin
112,https://en-ae.namshi.com/buy-hayas-closet-printed-hem-pleated-abaya-w1080066a.html,https://pa.namshicdn.com/product/A6/600801W/1-web-desktop-list.webp,Navy,Evening,
113,https://en-ae.namshi.com/buy-khizana-embroidered-detail-abaya-w1162704a.html,https://pa.namshicdn.com/product/A4/072611W/1-web-desktop-list.webp,Pink,Evening,
114,https://en-ae.namshi.com/buy-nukhbaa-contrast-detail-abaya-w1126181a.html,https://pa.namshicdn.com/product/A1/816211W/1-web-desktop-list.webp,Black,Evening,
115,https://en-ae.namshi.com/buy-khizana-color-block-abaya-w1072722a.html,https://pa.namshicdn.com/product/A2/272701W/1-web-desktop-list.webp,Green,Evening,
116,https://en-ae.namshi.com/buy-hayas-closet-pleat-detail-abaya-w1185905a.html,https://pa.namshicdn.com/product/A5/095811W/v2/1-web-desktop-list.webp,Red,Casual,
117,https://en-ae.namshi.com/buy-khizana-embroidery-detail-abaya-w1189395a.html,https://pa.namshicdn.com/product/A5/939811W/1-web-desktop-list.webp,Pink,Evening,
118,https://en-ae.namshi.com/buy-khizana-embroidered-abaya-w1192714a.html,https://pa.namshicdn.com/product/A4/172911W/1-web-desktop-list.webp,Blue,event,
119,https://en-ae.namshi.com/buy-khizana-ruffle-hem-abaya-w1112531a.html,https://pa.namshicdn.com/product/A1/352111W/1-web-desktop-list.webp,Burgundy,Casual,
120,https://en-ae.namshi.com/buy-khizana-embellished-detail-abaya-w1163000a.html,https://pa.namshicdn.com/product/A0/003611W/1-web-desktop-list.webp,Yellow,event,
121,https://en-ae.namshi.com/buy-khizana-contrast-trim-abaya-w1160882a.html,https://pa.namshicdn.com/product/A2/880611W/1-web-desktop-list.webp,brown,Evening,
122,https://en-ae.namshi.com/buy-khizana-embellished-detail-abaya-w1162709a.html,https://pa.namshicdn.com/product/A9/072611W/1-web-desktop-list.webp,Red,Evening,
123,https://en-ae.namshi.com/buy-khizana-textured-abaya-w1160878a.html,https://pa.namshicdn.com/product/A8/780611W/1-web-desktop-list.webp,White,Evening,
124,https://en-ae.namshi.com/buy-khizana-printed-ruffle-abaya-w1092977a.html,https://pa.namshicdn.com/product/A7/792901W/1-web-desktop-list.webp,Prints,Casual,
125,https://en-ae.namshi.com/buy-khizana-embroidered-abaya-w1192713a.html,https://pa.namshicdn.com/product/A3/172911W/v3/1-web-desktop-list.webp,Yellow,event,
126,https://en-ae.namshi.com/buy-hayas-closet-colorblock-abaya-w915477a.html,https://pa.namshicdn.com/product/A7/74519W/1-web-desktop-list.webp,Navy,Evening,
127,https://en-ae.namshi.com/buy-hayas-closet-ruffle-detail-balloon-sleeve-abaya-w1185889a.html,https://pa.namshicdn.com/product/A9/885811W/1-web-desktop-list.webp,Beige,Casual,
128,https://en-ae.namshi.com/buy-nukhbaa-striped-sheer-abaya-w1197811a.html,https://pa.namshicdn.com/product/A1/187911W/1-web-desktop-list.webp,Black,event,
